 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Asymmetry
1.000000E+01 -3.180979E-03
1.095477E+01 -7.727332E-03
1.190955E+01 -1.195054E-02
1.286432E+01 -1.641415E-02
1.381910E+01 -2.122694E-02
1.477387E+01 -2.642766E-02
1.572864E+01 -3.203449E-02
1.668342E+01 -3.805803E-02
1.763819E+01 -4.450587E-02
1.859296E+01 -5.138437E-02
1.954774E+01 -5.869946E-02
2.050251E+01 -6.645691E-02
2.145729E+01 -7.466245E-02
2.241206E+01 -8.332175E-02
2.336683E+01 -9.244033E-02
2.432161E+01 -1.020234E-01
2.527638E+01 -1.120759E-01
2.623116E+01 -1.226021E-01
2.718593E+01 -1.336053E-01
2.814070E+01 -1.450879E-01
2.909548E+01 -1.570512E-01
3.005025E+01 -1.694946E-01
3.100503E+01 -1.824158E-01
3.195980E+01 -1.958101E-01
3.291457E+01 -2.096703E-01
3.386935E+01 -2.239861E-01
3.482412E+01 -2.387436E-01
3.577889E+01 -2.539248E-01
3.673367E+01 -2.695072E-01
3.768844E+01 -2.854633E-01
3.864322E+01 -3.017596E-01
3.959799E+01 -3.183563E-01
4.055276E+01 -3.352068E-01
4.150754E+01 -3.522568E-01
4.246231E+01 -3.694437E-01
4.341709E+01 -3.866966E-01
4.437186E+01 -4.039351E-01
4.532663E+01 -4.210697E-01
4.628141E+01 -4.380010E-01
4.723618E+01 -4.546203E-01
4.819095E+01 -4.708093E-01
4.914573E+01 -4.864410E-01
5.010050E+01 -5.013803E-01
5.105528E+01 -5.154855E-01
5.201005E+01 -5.286094E-01
5.296482E+01 -5.406017E-01
5.391960E+01 -5.513110E-01
5.487437E+01 -5.605874E-01
5.582915E+01 -5.682861E-01
5.678392E+01 -5.742697E-01
5.773869E+01 -5.784123E-01
5.869347E+01 -5.806023E-01
5.964824E+01 -5.807461E-01
6.060302E+01 -5.787706E-01
6.155779E+01 -5.746259E-01
6.251256E+01 -5.682874E-01
6.346734E+01 -5.597569E-01
6.442211E+01 -5.490631E-01
6.537688E+01 -5.362614E-01
6.633166E+01 -5.214327E-01
6.728643E+01 -5.046815E-01
6.824121E+01 -4.861338E-01
6.919598E+01 -4.659334E-01
7.015075E+01 -4.442388E-01
7.110553E+01 -4.212192E-01
7.206030E+01 -3.970511E-01
7.301508E+01 -3.719140E-01
7.396985E+01 -3.459874E-01
7.492462E+01 -3.194474E-01
7.587940E+01 -2.924637E-01
7.683417E+01 -2.651976E-01
7.778894E+01 -2.378000E-01
7.874372E+01 -2.104099E-01
7.969849E+01 -1.831537E-01
8.065327E+01 -1.561447E-01
8.160804E+01 -1.294827E-01
8.256281E+01 -1.032545E-01
8.351759E+01 -7.753415E-02
8.447236E+01 -5.238355E-02
8.542714E+01 -2.785342E-02
8.638191E+01 -3.984022E-03
8.733668E+01 1.919387E-02
8.829146E+01 4.165802E-02
8.924623E+01 6.339380E-02
9.020101E+01 8.439324E-02
9.115578E+01 1.046542E-01
9.211055E+01 1.241795E-01
9.306533E+01 1.429761E-01
9.402010E+01 1.610548E-01
9.497487E+01 1.784290E-01
9.592965E+01 1.951146E-01
9.688442E+01 2.111293E-01
9.783920E+01 2.264924E-01
9.879397E+01 2.412241E-01
9.974874E+01 2.553454E-01
1.007035E+02 2.688777E-01
1.016583E+02 2.818429E-01
1.026131E+02 2.942625E-01
1.035678E+02 3.061581E-01
1.045226E+02 3.175511E-01
1.054774E+02 3.284625E-01
1.064322E+02 3.389126E-01
1.073869E+02 3.489214E-01
1.083417E+02 3.585083E-01
1.092965E+02 3.676919E-01
1.102513E+02 3.764904E-01
1.112060E+02 3.849211E-01
1.121608E+02 3.930009E-01
1.131156E+02 4.007457E-01
1.140704E+02 4.081710E-01
1.150251E+02 4.152914E-01
1.159799E+02 4.221211E-01
1.169347E+02 4.286734E-01
1.178894E+02 4.349613E-01
1.188442E+02 4.409970E-01
1.197990E+02 4.467921E-01
1.207538E+02 4.523576E-01
1.217085E+02 4.577041E-01
1.226633E+02 4.628413E-01
1.236181E+02 4.677771E-01
1.245729E+02 4.724912E-01
1.255276E+02 4.770403E-01
1.264824E+02 4.814854E-01
1.274372E+02 4.857176E-01
1.283920E+02 4.897891E-01
1.293467E+02 4.937090E-01
