 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 5.488859E-02
-9.850000E-01 5.434200E-02
-9.750000E-01 5.380550E-02
-9.650000E-01 5.327910E-02
-9.550000E-01 5.276279E-02
-9.450000E-01 5.225658E-02
-9.350000E-01 5.176046E-02
-9.250000E-01 5.127443E-02
-9.150000E-01 5.079850E-02
-9.050000E-01 5.033266E-02
-8.950000E-01 4.987692E-02
-8.850000E-01 4.943127E-02
-8.750000E-01 4.899572E-02
-8.650000E-01 4.857025E-02
-8.550000E-01 4.815489E-02
-8.450000E-01 4.774962E-02
-8.350000E-01 4.735444E-02
-8.250000E-01 4.696936E-02
-8.150000E-01 4.659437E-02
-8.050000E-01 4.622947E-02
-7.950000E-01 4.587467E-02
-7.850000E-01 4.552996E-02
-7.750000E-01 4.519535E-02
-7.650000E-01 4.487083E-02
-7.550000E-01 4.455641E-02
-7.450000E-01 4.425208E-02
-7.350000E-01 4.395785E-02
-7.250000E-01 4.367371E-02
-7.150000E-01 4.339966E-02
-7.050000E-01 4.313571E-02
-6.950000E-01 4.288185E-02
-6.850000E-01 4.263808E-02
-6.750000E-01 4.240441E-02
-6.650000E-01 4.218084E-02
-6.550000E-01 4.196736E-02
-6.450000E-01 4.176397E-02
-6.350000E-01 4.157068E-02
-6.250000E-01 4.138748E-02
-6.150000E-01 4.121438E-02
-6.050000E-01 4.105137E-02
-5.950000E-01 4.089845E-02
-5.850000E-01 4.075563E-02
-5.750000E-01 4.062290E-02
-5.650000E-01 4.050027E-02
-5.550000E-01 4.038773E-02
-5.450000E-01 4.028529E-02
-5.350000E-01 4.019294E-02
-5.250000E-01 4.011068E-02
-5.150000E-01 4.003852E-02
-5.050000E-01 3.997645E-02
-4.950000E-01 3.992448E-02
-4.850000E-01 3.988260E-02
-4.750000E-01 3.985082E-02
-4.650000E-01 3.982913E-02
-4.550000E-01 3.981753E-02
-4.450000E-01 3.981603E-02
-4.350000E-01 3.982462E-02
-4.250000E-01 3.984331E-02
-4.150000E-01 3.987209E-02
-4.050000E-01 3.991096E-02
-3.950000E-01 3.995993E-02
-3.850000E-01 4.001900E-02
-3.750000E-01 4.008816E-02
-3.650000E-01 4.016741E-02
-3.550000E-01 4.025676E-02
-3.450000E-01 4.035620E-02
-3.350000E-01 4.046573E-02
-3.250000E-01 4.058536E-02
-3.150000E-01 4.071508E-02
