 m,M ->c,C
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Asymmetry
1.000000E+01 -8.612789E-03
1.095477E+01 -1.055763E-02
1.190955E+01 -1.269233E-02
1.286432E+01 -1.501941E-02
1.381910E+01 -1.754177E-02
1.477387E+01 -2.026266E-02
1.572864E+01 -2.318563E-02
1.668342E+01 -2.631458E-02
1.763819E+01 -2.965372E-02
1.859296E+01 -3.320756E-02
1.954774E+01 -3.698098E-02
2.050251E+01 -4.097914E-02
2.145729E+01 -4.520757E-02
2.241206E+01 -4.967213E-02
2.336683E+01 -5.437903E-02
2.432161E+01 -5.933486E-02
2.527638E+01 -6.454656E-02
2.623116E+01 -7.002144E-02
2.718593E+01 -7.576720E-02
2.814070E+01 -8.179194E-02
2.909548E+01 -8.810413E-02
3.005025E+01 -9.471264E-02
3.100503E+01 -1.016268E-01
3.195980E+01 -1.088561E-01
3.291457E+01 -1.164108E-01
3.386935E+01 -1.243013E-01
3.482412E+01 -1.325382E-01
3.577889E+01 -1.411328E-01
3.673367E+01 -1.500965E-01
3.768844E+01 -1.594409E-01
3.864322E+01 -1.691780E-01
3.959799E+01 -1.793198E-01
4.055276E+01 -1.898784E-01
4.150754E+01 -2.008659E-01
4.246231E+01 -2.122941E-01
4.341709E+01 -2.241745E-01
4.437186E+01 -2.365182E-01
4.532663E+01 -2.493354E-01
4.628141E+01 -2.626353E-01
4.723618E+01 -2.764258E-01
4.819095E+01 -2.907129E-01
4.914573E+01 -3.055004E-01
5.010050E+01 -3.207894E-01
5.105528E+01 -3.365773E-01
5.201005E+01 -3.528575E-01
5.296482E+01 -3.696182E-01
5.391960E+01 -3.868414E-01
5.487437E+01 -4.045018E-01
5.582915E+01 -4.225653E-01
5.678392E+01 -4.409876E-01
5.773869E+01 -4.597124E-01
5.869347E+01 -4.786693E-01
5.964824E+01 -4.977719E-01
6.060302E+01 -5.169155E-01
6.155779E+01 -5.359748E-01
6.251256E+01 -5.548009E-01
6.346734E+01 -5.732196E-01
6.442211E+01 -5.910290E-01
6.537688E+01 -6.079972E-01
6.633166E+01 -6.238619E-01
6.728643E+01 -6.383292E-01
6.824121E+01 -6.510751E-01
6.919598E+01 -6.617478E-01
7.015075E+01 -6.699724E-01
7.110553E+01 -6.753574E-01
7.206030E+01 -6.775046E-01
7.301508E+01 -6.760213E-01
7.396985E+01 -6.705349E-01
7.492462E+01 -6.607103E-01
7.587940E+01 -6.462685E-01
7.683417E+01 -6.270055E-01
7.778894E+01 -6.028097E-01
7.874372E+01 -5.736773E-01
7.969849E+01 -5.397221E-01
8.065327E+01 -5.011804E-01
8.160804E+01 -4.584078E-01
8.256281E+01 -4.118693E-01
8.351759E+01 -3.621225E-01
8.447236E+01 -3.097950E-01
8.542714E+01 -2.555582E-01
8.638191E+01 -2.000992E-01
8.733668E+01 -1.440948E-01
8.829146E+01 -8.818642E-02
8.924623E+01 -3.296103E-02
9.020101E+01 2.106368E-02
9.115578E+01 7.344821E-02
9.211055E+01 1.238351E-01
9.306533E+01 1.719484E-01
9.402010E+01 2.175892E-01
9.497487E+01 2.606289E-01
9.592965E+01 3.010007E-01
9.688442E+01 3.386907E-01
9.783920E+01 3.737282E-01
9.879397E+01 4.061771E-01
9.974874E+01 4.361277E-01
1.007035E+02 4.636897E-01
1.016583E+02 4.889857E-01
1.026131E+02 5.121463E-01
1.035678E+02 5.333062E-01
1.045226E+02 5.526002E-01
1.054774E+02 5.701615E-01
1.064322E+02 5.861190E-01
1.073869E+02 6.005967E-01
1.083417E+02 6.137122E-01
1.092965E+02 6.255766E-01
1.102513E+02 6.362936E-01
1.112060E+02 6.459603E-01
1.121608E+02 6.546666E-01
1.131156E+02 6.624956E-01
1.140704E+02 6.695240E-01
1.150251E+02 6.758222E-01
1.159799E+02 6.814548E-01
1.169347E+02 6.864811E-01
1.178894E+02 6.909554E-01
1.188442E+02 6.949269E-01
1.197990E+02 6.984410E-01
1.207538E+02 7.015389E-01
1.217085E+02 7.042581E-01
1.226633E+02 7.066328E-01
1.236181E+02 7.086939E-01
1.245729E+02 7.104655E-01
1.255276E+02 7.119805E-01
1.264824E+02 7.132708E-01
1.274372E+02 7.143399E-01
1.283920E+02 7.152143E-01
