 m,M ->e,E
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Cross Section [pb]
1.000000E+01 9.974613E+02
1.095477E+01 8.311056E+02
1.190955E+01 7.031494E+02
1.286432E+01 6.026230E+02
1.381910E+01 5.222118E+02
1.477387E+01 4.568863E+02
1.572864E+01 4.030963E+02
1.668342E+01 3.582777E+02
1.763819E+01 3.205412E+02
1.859296E+01 2.884701E+02
1.954774E+01 2.609847E+02
2.050251E+01 2.372512E+02
2.145729E+01 2.166169E+02
2.241206E+01 1.985651E+02
2.336683E+01 1.826825E+02
2.432161E+01 1.686354E+02
2.527638E+01 1.561518E+02
2.623116E+01 1.450085E+02
2.718593E+01 1.350206E+02
2.814070E+01 1.260341E+02
2.909548E+01 1.179199E+02
3.005025E+01 1.105691E+02
3.100503E+01 1.038893E+02
3.195980E+01 9.780169E+01
3.291457E+01 9.223872E+01
3.386935E+01 8.714228E+01
3.482412E+01 8.246213E+01
3.577889E+01 7.815464E+01
3.673367E+01 7.418183E+01
3.768844E+01 7.051045E+01
3.864322E+01 6.711136E+01
3.959799E+01 6.395890E+01
4.055276E+01 6.103044E+01
4.150754E+01 5.830594E+01
4.246231E+01 5.576761E+01
4.341709E+01 5.339967E+01
4.437186E+01 5.118801E+01
4.532663E+01 4.912008E+01
4.628141E+01 4.718464E+01
4.723618E+01 4.537162E+01
4.819095E+01 4.367204E+01
4.914573E+01 4.207780E+01
5.010050E+01 4.058169E+01
5.105528E+01 3.917723E+01
5.201005E+01 3.785863E+01
5.296482E+01 3.662075E+01
5.391960E+01 3.545900E+01
5.487437E+01 3.436937E+01
5.582915E+01 3.334833E+01
5.678392E+01 3.239285E+01
5.773869E+01 3.150038E+01
5.869347E+01 3.066883E+01
5.964824E+01 2.989658E+01
6.060302E+01 2.918251E+01
6.155779E+01 2.852601E+01
6.251256E+01 2.792701E+01
6.346734E+01 2.738605E+01
6.442211E+01 2.690438E+01
6.537688E+01 2.648401E+01
6.633166E+01 2.612789E+01
6.728643E+01 2.584008E+01
6.824121E+01 2.562600E+01
6.919598E+01 2.549271E+01
7.015075E+01 2.544940E+01
7.110553E+01 2.550792E+01
7.206030E+01 2.568358E+01
7.301508E+01 2.599624E+01
7.396985E+01 2.647183E+01
7.492462E+01 2.714450E+01
7.587940E+01 2.805976E+01
7.683417E+01 2.927905E+01
7.778894E+01 3.088676E+01
7.874372E+01 3.300097E+01
7.969849E+01 3.579060E+01
8.065327E+01 3.950364E+01
8.160804E+01 4.451536E+01
8.256281E+01 5.141421E+01
8.351759E+01 6.116313E+01
8.447236E+01 7.542082E+01
8.542714E+01 9.723008E+01
8.638191E+01 1.326267E+02
8.733668E+01 1.948185E+02
8.829146E+01 3.164359E+02
8.924623E+01 5.891290E+02
9.020101E+01 1.258437E+03
9.115578E+01 2.110531E+03
9.211055E+01 1.369830E+03
9.306533E+01 6.513816E+02
9.402010E+01 3.516549E+02
9.497487E+01 2.174696E+02
9.592965E+01 1.484508E+02
9.688442E+01 1.087712E+02
9.783920E+01 8.396683E+01
9.879397E+01 6.743998E+01
9.974874E+01 5.586607E+01
1.007035E+02 4.743137E+01
1.016583E+02 4.108103E+01
1.026131E+02 3.616863E+01
1.035678E+02 3.228050E+01
1.045226E+02 2.914206E+01
1.054774E+02 2.656529E+01
1.064322E+02 2.441794E+01
1.073869E+02 2.260477E+01
1.083417E+02 2.105582E+01
1.092965E+02 1.971868E+01
1.102513E+02 1.855351E+01
1.112060E+02 1.752955E+01
1.121608E+02 1.662276E+01
1.131156E+02 1.581407E+01
1.140704E+02 1.508828E+01
1.150251E+02 1.443305E+01
1.159799E+02 1.383835E+01
1.169347E+02 1.329593E+01
1.178894E+02 1.279893E+01
1.188442E+02 1.234163E+01
1.197990E+02 1.191923E+01
1.207538E+02 1.152766E+01
1.217085E+02 1.116347E+01
1.226633E+02 1.082367E+01
1.236181E+02 1.050574E+01
1.245729E+02 1.020746E+01
1.255276E+02 9.926919E+00
1.264824E+02 9.662445E+00
1.274372E+02 9.412574E+00
1.283920E+02 9.176018E+00
1.293467E+02 8.951640E+00
1.303015E+02 8.738433E+00
1.312563E+02 8.535498E+00
1.322111E+02 8.342037E+00
1.331658E+02 8.157333E+00
1.341206E+02 7.980745E+00
1.350754E+02 7.811692E+00
1.360302E+02 7.649653E+00
1.369849E+02 7.494155E+00
1.379397E+02 7.344768E+00
1.388945E+02 7.201103E+00
1.398492E+02 7.062802E+00
1.408040E+02 6.929542E+00
1.417588E+02 6.801024E+00
1.427136E+02 6.676975E+00
1.436683E+02 6.557142E+00
1.446231E+02 6.441295E+00
1.455779E+02 6.329220E+00
1.465327E+02 6.220719E+00
1.474874E+02 6.115608E+00
1.484422E+02 6.013718E+00
1.493970E+02 5.914891E+00
1.503518E+02 5.818980E+00
1.513065E+02 5.725848E+00
1.522613E+02 5.635366E+00
1.532161E+02 5.547415E+00
1.541709E+02 5.461884E+00
1.551256E+02 5.378667E+00
1.560804E+02 5.297665E+00
