 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 3000.000000 N_points= 200
Cross Section [pb]
1.000000E+01 1.187096E+02
2.502513E+01 5.262360E+01
4.005025E+01 2.199552E+01
5.507538E+01 1.605951E+01
7.010050E+01 2.855046E+01
8.512563E+01 3.316233E+02
1.001508E+02 1.880274E+02
1.151759E+02 3.267842E+01
1.302010E+02 1.475328E+01
1.452261E+02 8.891298E+00
1.602513E+02 6.130574E+00
1.752764E+02 4.562369E+00
1.903015E+02 3.565063E+00
2.053266E+02 2.881563E+00
2.203518E+02 2.387682E+00
2.353769E+02 2.016518E+00
2.504020E+02 1.728998E+00
2.654271E+02 1.500842E+00
2.804523E+02 1.316205E+00
2.954774E+02 1.164327E+00
3.105025E+02 1.037660E+00
3.255276E+02 9.307597E-01
3.405528E+02 8.396098E-01
3.555779E+02 7.611850E-01
3.706030E+02 6.931678E-01
3.856281E+02 6.337547E-01
4.006533E+02 5.815237E-01
4.156784E+02 5.353397E-01
4.307035E+02 4.942867E-01
4.457286E+02 4.576186E-01
4.607538E+02 4.247218E-01
4.757789E+02 3.950879E-01
4.908040E+02 3.682924E-01
5.058291E+02 3.439785E-01
5.208543E+02 3.218443E-01
5.358794E+02 3.016330E-01
5.509045E+02 2.831248E-01
5.659296E+02 2.661308E-01
5.809548E+02 2.504879E-01
5.959799E+02 2.360544E-01
6.110050E+02 2.227069E-01
6.260302E+02 2.103375E-01
6.410553E+02 1.988514E-01
6.560804E+02 1.881653E-01
6.711055E+02 1.782052E-01
6.861307E+02 1.689059E-01
7.011558E+02 1.602091E-01
7.161809E+02 1.520631E-01
7.312060E+02 1.444214E-01
7.462312E+02 1.372425E-01
7.612563E+02 1.304892E-01
7.762814E+02 1.241278E-01
7.913065E+02 1.181281E-01
8.063317E+02 1.124625E-01
8.213568E+02 1.071064E-01
8.363819E+02 1.020371E-01
8.514070E+02 9.723422E-02
8.664322E+02 9.267914E-02
8.814573E+02 8.835484E-02
8.964824E+02 8.424582E-02
9.115075E+02 8.033790E-02
9.265327E+02 7.661811E-02
9.415578E+02 7.307457E-02
9.565829E+02 6.969639E-02
9.716080E+02 6.647358E-02
9.866332E+02 6.339698E-02
1.001658E+03 6.045818E-02
1.016683E+03 5.764945E-02
1.031709E+03 5.496373E-02
1.046734E+03 5.239453E-02
1.061759E+03 4.993591E-02
1.076784E+03 4.758244E-02
1.091809E+03 4.532919E-02
1.106834E+03 4.317167E-02
1.121859E+03 4.110583E-02
1.136884E+03 3.912801E-02
1.151910E+03 3.723500E-02
1.166935E+03 3.542392E-02
1.181960E+03 3.369230E-02
1.196985E+03 3.203807E-02
1.212010E+03 3.045949E-02
1.227035E+03 2.895525E-02
1.242060E+03 2.752440E-02
1.257085E+03 2.616644E-02
1.272111E+03 2.488127E-02
1.287136E+03 2.366926E-02
1.302161E+03 2.253127E-02
1.317186E+03 2.146870E-02
1.332211E+03 2.048354E-02
1.347236E+03 1.957844E-02
1.362261E+03 1.875675E-02
1.377286E+03 1.802269E-02
1.392312E+03 1.738137E-02
1.407337E+03 1.683899E-02
1.422362E+03 1.640300E-02
1.437387E+03 1.608225E-02
1.452412E+03 1.588728E-02
1.467437E+03 1.583059E-02
1.482462E+03 1.592699E-02
1.497487E+03 1.619405E-02
1.512513E+03 1.665262E-02
1.527538E+03 1.732751E-02
1.542563E+03 1.824830E-02
1.557588E+03 1.945040E-02
1.572613E+03 2.097632E-02
1.587638E+03 2.287738E-02
1.602663E+03 2.521578E-02
1.617688E+03 2.806741E-02
1.632714E+03 3.152535E-02
1.647739E+03 3.570462E-02
1.662764E+03 4.074841E-02
1.677789E+03 4.683651E-02
1.692814E+03 5.419666E-02
1.707839E+03 6.312039E-02
1.722864E+03 7.398504E-02
1.737889E+03 8.728518E-02
1.752915E+03 1.036781E-01
1.767940E+03 1.240509E-01
1.782965E+03 1.496224E-01
1.797990E+03 1.821003E-01
1.813015E+03 2.239330E-01
1.828040E+03 2.787234E-01
1.843065E+03 3.519387E-01
1.858090E+03 4.521806E-01
1.873116E+03 5.935835E-01
1.888141E+03 8.006401E-01
1.903166E+03 1.118713E+00
1.918191E+03 1.639356E+00
1.933216E+03 2.569974E+00
1.948241E+03 4.464523E+00
1.963266E+03 9.235728E+00
1.978291E+03 2.748306E+01
1.993317E+03 2.926684E+02
2.008342E+03 1.976241E+02
2.023367E+03 2.664482E+01
2.038392E+03 1.025636E+01
2.053417E+03 5.493284E+00
2.068442E+03 3.465350E+00
2.083467E+03 2.410694E+00
2.098492E+03 1.789630E+00
2.113518E+03 1.391465E+00
2.128543E+03 1.119912E+00
2.143568E+03 9.257833E-01
2.158593E+03 7.817671E-01
2.173618E+03 6.716838E-01
2.188643E+03 5.854380E-01
2.203668E+03 5.164566E-01
2.218693E+03 4.603052E-01
2.233719E+03 4.139004E-01
2.248744E+03 3.750424E-01
2.263769E+03 3.421260E-01
2.278794E+03 3.139563E-01
2.293819E+03 2.896285E-01
2.308844E+03 2.684466E-01
2.323869E+03 2.498677E-01
2.338894E+03 2.334633E-01
2.353920E+03 2.188909E-01
2.368945E+03 2.058741E-01
2.383970E+03 1.941878E-01
2.398995E+03 1.836469E-01
2.414020E+03 1.740981E-01
2.429045E+03 1.654135E-01
2.444070E+03 1.574857E-01
2.459095E+03 1.502238E-01
2.474121E+03 1.435504E-01
2.489146E+03 1.373995E-01
2.504171E+03 1.317142E-01
2.519196E+03 1.264453E-01
2.534221E+03 1.215504E-01
2.549246E+03 1.169921E-01
2.564271E+03 1.127381E-01
2.579296E+03 1.087597E-01
2.594322E+03 1.050319E-01
2.609347E+03 1.015322E-01
2.624372E+03 9.824100E-02
2.639397E+03 9.514062E-02
2.654422E+03 9.221537E-02
2.669447E+03 8.945117E-02
2.684472E+03 8.683538E-02
2.699497E+03 8.435663E-02
2.714523E+03 8.200466E-02
2.729548E+03 7.977018E-02
2.744573E+03 7.764477E-02
2.759598E+03 7.562081E-02
2.774623E+03 7.369132E-02
2.789648E+03 7.184995E-02
2.804673E+03 7.009092E-02
2.819698E+03 6.840891E-02
2.834724E+03 6.679905E-02
2.849749E+03 6.525686E-02
2.864774E+03 6.377824E-02
2.879799E+03 6.235939E-02
2.894824E+03 6.099680E-02
2.909849E+03 5.968725E-02
2.924874E+03 5.842773E-02
2.939899E+03 5.721548E-02
2.954925E+03 5.604790E-02
2.969950E+03 5.492261E-02
2.984975E+03 5.383738E-02
3.000000E+03 5.279014E-02
