 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 3000.000000 N_points= 200
Asymmetry
1.000000E+01 -3.187516E-03
2.502513E+01 -1.095913E-01
4.005025E+01 -3.267648E-01
5.507538E+01 -5.625341E-01
7.010050E+01 -4.451318E-01
8.512563E+01 -3.549430E-02
1.001508E+02 2.611757E-01
1.151759E+02 4.166966E-01
1.302010E+02 4.976638E-01
1.452261E+02 5.426699E-01
1.602513E+02 5.695393E-01
1.752764E+02 5.866262E-01
1.903015E+02 5.980870E-01
2.053266E+02 6.061265E-01
2.203518E+02 6.119843E-01
2.353769E+02 6.163937E-01
2.504020E+02 6.198082E-01
2.654271E+02 6.225190E-01
2.804523E+02 6.247195E-01
2.954774E+02 6.265417E-01
3.105025E+02 6.280783E-01
3.255276E+02 6.293954E-01
3.405528E+02 6.305416E-01
3.555779E+02 6.315526E-01
3.706030E+02 6.324556E-01
3.856281E+02 6.332712E-01
4.006533E+02 6.340155E-01
4.156784E+02 6.347008E-01
4.307035E+02 6.353368E-01
4.457286E+02 6.359311E-01
4.607538E+02 6.364898E-01
4.757789E+02 6.370176E-01
4.908040E+02 6.375181E-01
5.058291E+02 6.379941E-01
5.208543E+02 6.384477E-01
5.358794E+02 6.388803E-01
5.509045E+02 6.392929E-01
5.659296E+02 6.396860E-01
5.809548E+02 6.400595E-01
5.959799E+02 6.404130E-01
6.110050E+02 6.407459E-01
6.260302E+02 6.410569E-01
6.410553E+02 6.413445E-01
6.560804E+02 6.416069E-01
6.711055E+02 6.418418E-01
6.861307E+02 6.420465E-01
7.011558E+02 6.422178E-01
7.161809E+02 6.423521E-01
7.312060E+02 6.424454E-01
7.462312E+02 6.424930E-01
7.612563E+02 6.424897E-01
7.762814E+02 6.424294E-01
7.913065E+02 6.423056E-01
8.063317E+02 6.421106E-01
8.213568E+02 6.418361E-01
8.363819E+02 6.414726E-01
8.514070E+02 6.410093E-01
8.664322E+02 6.404344E-01
8.814573E+02 6.397343E-01
8.964824E+02 6.388939E-01
9.115075E+02 6.378962E-01
9.265327E+02 6.367221E-01
9.415578E+02 6.353497E-01
9.565829E+02 6.337548E-01
9.716080E+02 6.319097E-01
9.866332E+02 6.297833E-01
1.001658E+03 6.273403E-01
1.016683E+03 6.245407E-01
1.031709E+03 6.213391E-01
1.046734E+03 6.176840E-01
1.061759E+03 6.135171E-01
1.076784E+03 6.087718E-01
1.091809E+03 6.033725E-01
1.106834E+03 5.972332E-01
1.121859E+03 5.902559E-01
1.136884E+03 5.823293E-01
1.151910E+03 5.733266E-01
1.166935E+03 5.631039E-01
1.181960E+03 5.514980E-01
1.196985E+03 5.383243E-01
1.212010E+03 5.233745E-01
1.227035E+03 5.064153E-01
1.242060E+03 4.871867E-01
1.257085E+03 4.654012E-01
1.272111E+03 4.407456E-01
1.287136E+03 4.128833E-01
1.302161E+03 3.814612E-01
1.317186E+03 3.461205E-01
1.332211E+03 3.065135E-01
1.347236E+03 2.623285E-01
1.362261E+03 2.133245E-01
1.377286E+03 1.593758E-01
1.392312E+03 1.005277E-01
1.407337E+03 3.706063E-02
1.422362E+03 -3.044420E-02
1.437387E+03 -1.010468E-01
1.452412E+03 -1.734137E-01
1.467437E+03 -2.458241E-01
1.482462E+03 -3.162331E-01
1.497487E+03 -3.824002E-01
1.512513E+03 -4.420759E-01
1.527538E+03 -4.932233E-01
1.542563E+03 -5.342323E-01
1.557588E+03 -5.640843E-01
1.572613E+03 -5.824328E-01
1.587638E+03 -5.895871E-01
1.602663E+03 -5.864111E-01
1.617688E+03 -5.741695E-01
1.632714E+03 -5.543543E-01
1.647739E+03 -5.285271E-01
1.662764E+03 -4.981926E-01
1.677789E+03 -4.647144E-01
1.692814E+03 -4.292679E-01
1.707839E+03 -3.928244E-01
1.722864E+03 -3.561572E-01
1.737889E+03 -3.198599E-01
1.752915E+03 -2.843712E-01
1.767940E+03 -2.500018E-01
1.782965E+03 -2.169593E-01
1.797990E+03 -1.853706E-01
1.813015E+03 -1.553014E-01
1.828040E+03 -1.267713E-01
1.843065E+03 -9.976702E-02
1.858090E+03 -7.425150E-02
1.873116E+03 -5.017198E-02
1.888141E+03 -2.746553E-02
1.903166E+03 -6.063375E-03
1.918191E+03 1.410604E-02
1.933216E+03 3.311474E-02
1.948241E+03 5.103367E-02
1.963266E+03 6.793159E-02
1.978291E+03 8.387442E-02
1.993317E+03 9.892474E-02
2.008342E+03 1.131416E-01
2.023367E+03 1.265806E-01
2.038392E+03 1.392935E-01
2.053417E+03 1.513287E-01
2.068442E+03 1.627313E-01
2.083467E+03 1.735432E-01
2.098492E+03 1.838031E-01
