 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 7.435814E-03
-9.850000E-01 7.363415E-03
-9.750000E-01 7.295620E-03
-9.650000E-01 7.232428E-03
-9.550000E-01 7.173840E-03
-9.450000E-01 7.119856E-03
-9.350000E-01 7.070476E-03
-9.250000E-01 7.025699E-03
-9.150000E-01 6.985525E-03
-9.050000E-01 6.949956E-03
-8.950000E-01 6.918990E-03
-8.850000E-01 6.892628E-03
-8.750000E-01 6.870869E-03
-8.650000E-01 6.853714E-03
-8.550000E-01 6.841163E-03
-8.450000E-01 6.833215E-03
-8.350000E-01 6.829871E-03
-8.250000E-01 6.831131E-03
-8.150000E-01 6.836994E-03
-8.050000E-01 6.847461E-03
-7.950000E-01 6.862532E-03
-7.850000E-01 6.882206E-03
-7.750000E-01 6.906484E-03
-7.650000E-01 6.935365E-03
-7.550000E-01 6.968851E-03
-7.450000E-01 7.006940E-03
-7.350000E-01 7.049632E-03
-7.250000E-01 7.096928E-03
-7.150000E-01 7.148828E-03
-7.050000E-01 7.205332E-03
-6.950000E-01 7.266439E-03
-6.850000E-01 7.332150E-03
-6.750000E-01 7.402465E-03
-6.650000E-01 7.477383E-03
-6.550000E-01 7.556905E-03
-6.450000E-01 7.641030E-03
-6.350000E-01 7.729759E-03
-6.250000E-01 7.823092E-03
-6.150000E-01 7.921028E-03
-6.050000E-01 8.023569E-03
-5.950000E-01 8.130712E-03
-5.850000E-01 8.242460E-03
-5.750000E-01 8.358811E-03
-5.650000E-01 8.479766E-03
-5.550000E-01 8.605324E-03
-5.450000E-01 8.735486E-03
-5.350000E-01 8.870252E-03
-5.250000E-01 9.009621E-03
-5.150000E-01 9.153594E-03
-5.050000E-01 9.302171E-03
-4.950000E-01 9.455351E-03
-4.850000E-01 9.613135E-03
-4.750000E-01 9.775523E-03
-4.650000E-01 9.942515E-03
-4.550000E-01 1.011411E-02
-4.450000E-01 1.029031E-02
-4.350000E-01 1.047111E-02
-4.250000E-01 1.065652E-02
-4.150000E-01 1.084653E-02
-4.050000E-01 1.104114E-02
-3.950000E-01 1.124036E-02
-3.850000E-01 1.144418E-02
-3.750000E-01 1.165260E-02
-3.650000E-01 1.186563E-02
-3.550000E-01 1.208326E-02
-3.450000E-01 1.230550E-02
-3.350000E-01 1.253233E-02
-3.250000E-01 1.276378E-02
-3.150000E-01 1.299982E-02
