 m,M ->e,E
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Asymmetry
1.000000E+01 -6.413946E-03
1.095477E+01 -7.716463E-03
1.190955E+01 -9.144898E-03
1.286432E+01 -1.070120E-02
1.381910E+01 -1.238750E-02
1.477387E+01 -1.420613E-02
1.572864E+01 -1.615962E-02
1.668342E+01 -1.825071E-02
1.763819E+01 -2.048236E-02
1.859296E+01 -2.285775E-02
1.954774E+01 -2.538029E-02
2.050251E+01 -2.805366E-02
2.145729E+01 -3.088178E-02
2.241206E+01 -3.386883E-02
2.336683E+01 -3.701931E-02
2.432161E+01 -4.033797E-02
2.527638E+01 -4.382991E-02
2.623116E+01 -4.750055E-02
2.718593E+01 -5.135564E-02
2.814070E+01 -5.540132E-02
2.909548E+01 -5.964409E-02
3.005025E+01 -6.409088E-02
3.100503E+01 -6.874904E-02
3.195980E+01 -7.362635E-02
3.291457E+01 -7.873111E-02
3.386935E+01 -8.407208E-02
3.482412E+01 -8.965857E-02
3.577889E+01 -9.550046E-02
3.673367E+01 -1.016082E-01
3.768844E+01 -1.079929E-01
3.864322E+01 -1.146662E-01
3.959799E+01 -1.216406E-01
4.055276E+01 -1.289293E-01
4.150754E+01 -1.365460E-01
4.246231E+01 -1.445056E-01
4.341709E+01 -1.528234E-01
4.437186E+01 -1.615158E-01
4.532663E+01 -1.705999E-01
4.628141E+01 -1.800939E-01
4.723618E+01 -1.900166E-01
4.819095E+01 -2.003880E-01
4.914573E+01 -2.112286E-01
5.010050E+01 -2.225600E-01
5.105528E+01 -2.344044E-01
5.201005E+01 -2.467849E-01
5.296482E+01 -2.597247E-01
5.391960E+01 -2.732477E-01
5.487437E+01 -2.873777E-01
5.582915E+01 -3.021382E-01
5.678392E+01 -3.175519E-01
5.773869E+01 -3.336405E-01
5.869347E+01 -3.504230E-01
5.964824E+01 -3.679158E-01
6.060302E+01 -3.861308E-01
6.155779E+01 -4.050739E-01
6.251256E+01 -4.247432E-01
6.346734E+01 -4.451265E-01
6.442211E+01 -4.661982E-01
6.537688E+01 -4.879156E-01
6.633166E+01 -5.102143E-01
6.728643E+01 -5.330024E-01
6.824121E+01 -5.561543E-01
6.919598E+01 -5.795025E-01
7.015075E+01 -6.028285E-01
7.110553E+01 -6.258524E-01
7.206030E+01 -6.482216E-01
7.301508E+01 -6.694988E-01
7.396985E+01 -6.891505E-01
7.492462E+01 -7.065366E-01
7.587940E+01 -7.209043E-01
7.683417E+01 -7.313880E-01
7.778894E+01 -7.370193E-01
7.874372E+01 -7.367502E-01
7.969849E+01 -7.294949E-01
8.065327E+01 -7.141915E-01
8.160804E+01 -6.898846E-01
8.256281E+01 -6.558259E-01
8.351759E+01 -6.115809E-01
8.447236E+01 -5.571298E-01
8.542714E+01 -4.929412E-01
8.638191E+01 -4.200004E-01
8.733668E+01 -3.397788E-01
8.829146E+01 -2.541419E-01
8.924623E+01 -1.652058E-01
9.020101E+01 -7.516594E-02
9.115578E+01 1.387471E-02
9.211055E+01 1.000507E-01
9.306533E+01 1.818352E-01
9.402010E+01 2.580896E-01
9.497487E+01 3.280663E-01
9.592965E+01 3.913757E-01
9.688442E+01 4.479293E-01
9.783920E+01 4.978752E-01
9.879397E+01 5.415318E-01
9.974874E+01 5.793300E-01
1.007035E+02 6.117640E-01
1.016583E+02 6.393541E-01
1.026131E+02 6.626191E-01
1.035678E+02 6.820571E-01
1.045226E+02 6.981345E-01
1.054774E+02 7.112787E-01
1.064322E+02 7.218760E-01
1.073869E+02 7.302714E-01
1.083417E+02 7.367702E-01
1.092965E+02 7.416407E-01
1.102513E+02 7.451173E-01
1.112060E+02 7.474041E-01
1.121608E+02 7.486780E-01
1.131156E+02 7.490922E-01
1.140704E+02 7.487787E-01
1.150251E+02 7.478515E-01
1.159799E+02 7.464085E-01
1.169347E+02 7.445340E-01
1.178894E+02 7.423005E-01
1.188442E+02 7.397701E-01
1.197990E+02 7.369961E-01
1.207538E+02 7.340244E-01
1.217085E+02 7.308940E-01
1.226633E+02 7.276386E-01
1.236181E+02 7.242869E-01
1.245729E+02 7.208635E-01
1.255276E+02 7.173893E-01
1.264824E+02 7.138822E-01
1.274372E+02 7.103574E-01
1.283920E+02 7.068279E-01
