 m,M ->c,C
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Cross Section [pb]
1.000000E+01 1.323407E+03
1.095477E+01 1.104218E+03
1.190955E+01 9.350204E+02
1.286432E+01 8.017867E+02
1.381910E+01 6.950493E+02
1.477387E+01 6.082457E+02
1.572864E+01 5.367182E+02
1.668342E+01 4.770900E+02
1.763819E+01 4.268662E+02
1.859296E+01 3.841720E+02
1.954774E+01 3.475767E+02
2.050251E+01 3.159740E+02
2.145729E+01 2.884971E+02
2.241206E+01 2.644595E+02
2.336683E+01 2.433117E+02
2.432161E+01 2.246099E+02
2.527638E+01 2.079923E+02
2.623116E+01 1.931616E+02
2.718593E+01 1.798719E+02
2.814070E+01 1.679183E+02
2.909548E+01 1.571289E+02
3.005025E+01 1.473586E+02
3.100503E+01 1.384845E+02
3.195980E+01 1.304017E+02
3.291457E+01 1.230204E+02
3.386935E+01 1.162632E+02
3.482412E+01 1.100635E+02
3.577889E+01 1.043632E+02
3.673367E+01 9.911188E+01
3.768844E+01 9.426547E+01
3.864322E+01 8.978536E+01
3.959799E+01 8.563761E+01
4.055276E+01 8.179233E+01
4.150754E+01 7.822313E+01
4.246231E+01 7.490666E+01
4.341709E+01 7.182224E+01
4.437186E+01 6.895152E+01
4.532663E+01 6.627823E+01
4.628141E+01 6.378792E+01
4.723618E+01 6.146776E+01
4.819095E+01 5.930641E+01
4.914573E+01 5.729385E+01
5.010050E+01 5.542127E+01
5.105528E+01 5.368096E+01
5.201005E+01 5.206628E+01
5.296482E+01 5.057152E+01
5.391960E+01 4.919195E+01
5.487437E+01 4.792372E+01
5.582915E+01 4.676389E+01
5.678392E+01 4.571042E+01
5.773869E+01 4.476219E+01
5.869347E+01 4.391909E+01
5.964824E+01 4.318201E+01
6.060302E+01 4.255303E+01
6.155779E+01 4.203549E+01
6.251256E+01 4.163419E+01
6.346734E+01 4.135561E+01
6.442211E+01 4.120822E+01
6.537688E+01 4.120285E+01
6.633166E+01 4.135319E+01
6.728643E+01 4.167641E+01
6.824121E+01 4.219404E+01
6.919598E+01 4.293304E+01
7.015075E+01 4.392730E+01
7.110553E+01 4.521960E+01
7.206030E+01 4.686429E+01
7.301508E+01 4.893101E+01
7.396985E+01 5.150986E+01
7.492462E+01 5.471876E+01
7.587940E+01 5.871409E+01
7.683417E+01 6.370638E+01
7.778894E+01 6.998404E+01
7.874372E+01 7.795003E+01
7.969849E+01 8.818028E+01
8.065327E+01 1.015199E+02
8.160804E+01 1.192474E+02
8.256281E+01 1.433675E+02
8.351759E+01 1.771613E+02
8.447236E+01 2.262819E+02
8.542714E+01 3.011030E+02
8.638191E+01 4.222099E+02
8.733668E+01 6.346674E+02
8.829146E+01 1.049866E+03
8.924623E+01 1.980878E+03
9.020101E+01 4.267476E+03
9.115578E+01 7.184706E+03
9.211055E+01 4.661165E+03
9.306533E+01 2.206950E+03
9.402010E+01 1.182312E+03
9.497487E+01 7.234735E+02
9.592965E+01 4.875102E+02
9.688442E+01 3.519399E+02
9.783920E+01 2.672901E+02
9.879397E+01 2.109844E+02
9.974874E+01 1.716421E+02
1.007035E+02 1.430523E+02
1.016583E+02 1.216016E+02
1.026131E+02 1.050751E+02
1.035678E+02 9.205504E+01
1.045226E+02 8.160014E+01
1.054774E+02 7.306572E+01
1.064322E+02 6.599826E+01
1.073869E+02 6.007119E+01
1.083417E+02 5.504450E+01
1.092965E+02 5.073854E+01
1.102513E+02 4.701667E+01
1.112060E+02 4.377345E+01
1.121608E+02 4.092642E+01
1.131156E+02 3.841036E+01
1.140704E+02 3.617309E+01
1.150251E+02 3.417248E+01
1.159799E+02 3.237418E+01
1.169347E+02 3.074997E+01
1.178894E+02 2.927646E+01
1.188442E+02 2.793415E+01
1.197990E+02 2.670666E+01
1.207538E+02 2.558015E+01
1.217085E+02 2.454287E+01
1.226633E+02 2.358475E+01
1.236181E+02 2.269717E+01
1.245729E+02 2.187282E+01
1.255276E+02 2.110500E+01
1.264824E+02 2.038787E+01
1.274372E+02 1.971702E+01
1.283920E+02 1.908795E+01
1.293467E+02 1.849683E+01
1.303015E+02 1.794031E+01
1.312563E+02 1.741540E+01
1.322111E+02 1.691946E+01
1.331658E+02 1.645011E+01
1.341206E+02 1.600524E+01
1.350754E+02 1.558295E+01
1.360302E+02 1.518154E+01
1.369849E+02 1.479945E+01
1.379397E+02 1.443530E+01
1.388945E+02 1.408783E+01
1.398492E+02 1.375589E+01
1.408040E+02 1.343843E+01
1.417588E+02 1.313451E+01
1.427136E+02 1.284325E+01
1.436683E+02 1.256386E+01
1.446231E+02 1.229560E+01
1.455779E+02 1.203782E+01
1.465327E+02 1.178988E+01
1.474874E+02 1.155122E+01
1.484422E+02 1.132132E+01
1.493970E+02 1.109969E+01
1.503518E+02 1.088588E+01
1.513065E+02 1.067947E+01
1.522613E+02 1.048007E+01
1.532161E+02 1.028732E+01
1.541709E+02 1.010089E+01
1.551256E+02 9.920469E+00
1.560804E+02 9.745755E+00
